N,p,f,pop_type,alpha,p_true,cube_e_max,cube_e_mean,cube_bias,cube_nfrac,cube_nsel,sph_e_max,sph_e_mean,sph_bias,sph_nfrac,sph_nsel,delta_e_max,delta_e_mean,delta_bias,rep
50,5,0.7,mixed,0.2,0.6,0.5576130370085496,0.14714318494641476,-1.1102230246251565e-16,5,35,0.7878022463348586,0.2427595214565783,0.02857142857142847,5,35,0.23018920932630904,0.09561633651016355,0.02857142857142836,6
50,5,0.7,mixed,0.2,0.6,0.5687107620316256,0.13121974108392503,-0.028571428571428692,5,35,0.6462345907804475,0.14485262590434034,0.0,5,37,0.07752382874882191,0.013632884820415303,-0.028571428571428692,7
50,5,0.7,mixed,0.2,0.6,0.3641367944950544,0.08080899290529772,0.02857142857142847,5,35,0.6817908297801395,0.15079028385921053,0.0,5,35,0.3176540352850851,0.06998129095391281,-0.02857142857142847,8
50,5,0.7,mixed,0.2,0.6,0.037817298153579974,0.01913709585186762,0.02857142857142858,5,33,0.30015647235793225,0.1013627995215192,0.02857142857142847,5,37,0.26233917420435227,0.08222570366965158,-1.1102230246251565e-16,9
100,2,0.3,mixed,0.0,0.6,0.22738208688644984,0.16464679362311965,-0.06666666666666654,2,30,0.1663155678796244,0.09429087362053686,0.06666666666666676,2,30,-0.06106651900682544,-0.0703559200025828,2.220446049250313e-16,0
100,2,0.3,mixed,0.0,0.6,1.184511804387397,0.5990332474482226,0.16666666666666663,2,37,0.3818376760180403,0.21006557861582273,0.09999999999999998,2,34,-0.8026741283693567,-0.38896766883239986,-0.06666666666666665,1
100,2,0.3,mixed,0.0,0.6,0.12256588133028426,0.0790258784996098,-0.09999999999999987,2,30,0.019999104489545748,0.010451661460910968,1.1102230246251565e-16,2,29,-0.1025667768407385,-0.06857421703869884,-0.09999999999999976,2
100,2,0.3,mixed,0.0,0.6,0.6742784136053653,0.34591472694682585,0.03333333333333344,2,27,0.41681375761236755,0.223255200493248,-0.09999999999999987,2,33,-0.2574646559929978,-0.12265952645357783,0.06666666666666643,3
100,2,0.3,mixed,0.0,0.6,0.47503358386915256,0.24229685094634765,0.1333333333333333,2,34,0.1350996007448136,0.07960998139451056,0.06666666666666676,2,33,-0.339933983124339,-0.1626868695518371,-0.06666666666666654,4
100,2,0.3,mixed,0.0,0.6,0.8835722079208118,0.44236912378313503,-0.033333333333333215,2,27,0.47245982054460917,0.2501875275120203,-0.033333333333333215,2,29,-0.41111238737620265,-0.19218159627111475,0.0,5
100,2,0.3,mixed,0.0,0.6,0.06886614124799363,0.06488248152441287,-0.033333333333333215,2,23,0.10421216653091218,0.05725285798574348,0.03333333333333344,2,28,0.03534602528291855,-0.007629623538669389,2.220446049250313e-16,6
100,2,0.3,mixed,0.0,0.6,0.29654441556489886,0.17052733863087427,0.06666666666666676,2,34,0.07937932002717057,0.052401515763264246,0.06666666666666676,2,28,-0.21716509553772828,-0.11812582286761003,0.0,7
100,2,0.3,mixed,0.0,0.6,0.22717920815019438,0.1392912784295204,-0.06666666666666665,2,26,0.09904207757160206,0.05534169860665755,0.09999999999999998,2,31,-0.12813713057859233,-0.08394957982286286,0.033333333333333326,8
100,2,0.3,mixed,0.0,0.6,0.19185724787755662,0.12266179282457787,-0.09999999999999987,2,26,0.20547614912377635,0.11516316306934793,-0.033333333333333215,2,33,0.013618901246219728,-0.007498629755229941,-0.06666666666666665,9
100,2,0.3,mixed,0.2,0.6,0.07728647074568834,0.039614637572882014,1.1102230246251565e-16,2,29,0.10152678766701083,0.06411851116728967,-0.033333333333333215,2,35,0.02424031692132249,0.024503873594407657,0.033333333333333104,0
100,2,0.3,mixed,0.2,0.6,0.06093487829463216,0.04001104982690511,-0.13333333333333325,2,26,0.19650880254701386,0.11456387635858624,1.1102230246251565e-16,2,28,0.1355739242523817,0.07455282653168113,-0.13333333333333314,1
100,2,0.3,mixed,0.2,0.6,0.9955136446190946,0.5051825922335965,1.1102230246251565e-16,2,31,0.03847719010177985,0.03452906635151484,0.03333333333333344,2,30,-0.9570364545173148,-0.47065352588208165,0.033333333333333326,2
100,2,0.3,mixed,0.2,0.6,0.8967284764625987,0.45462016924490567,1.1102230246251565e-16,2,27,0.22341106537030114,0.12472253665621348,-0.06666666666666654,2,26,-0.6733174110922975,-0.3298976325886922,0.06666666666666643,3
100,2,0.3,mixed,0.2,0.6,0.30236189240895517,0.16992341312028056,0.16666666666666663,2,36,0.08925201466758428,0.06329253027101561,-0.033333333333333215,2,30,-0.21310987774137088,-0.10663088284926495,-0.13333333333333341,4
100,2,0.3,mixed,0.2,0.6,0.2779204595942666,0.14477280835441103,-0.033333333333333215,2,32,0.1417636277841378,0.0859298271010547,1.1102230246251565e-16,2,30,-0.13615683181012878,-0.058842981253356325,-0.033333333333333104,5
100,2,0.3,mixed,0.2,0.6,4.045359280360602,2.0436795272923898,-0.06666666666666665,2,30,5.439369372230958,2.7256438589412864,0.06666666666666676,2,32,1.3940100918703564,0.6819643316488966,1.1102230246251565e-16,6
